1:0.000000 | 1:0.000000: Child 1 message 1
1:0.000000 | 1:0.000000: Child 2 message 1
1:0.000000 | 1:0.000000: Child 3 message 1
1:0.000000 | 1:0.000000: Child 4 message 1
2:0.000000 | 2:0.000000: Child 1 message 2
2:0.000000 | 2:0.000000: Child 2 message 2
2:0.000000 | 2:0.000000: Child 3 message 2
2:0.000000 | 2:0.000000: Child 4 message 2
2:0.000000 | 2:1.000000: Child 1 message 3
2:0.000000 | 2:0.000000: Child 2 message 3
2:0.000000 | 2:0.000000: Child 3 message 3
2:0.000000 | 2:0.000000: Child 4 message 3
3:380.000000 | 0:0.000000: Child 5: user input 1
3:0.000000 | 3:1.000000: Child 1 message 4
3:0.000000 | 3:1.000000: Child 2 message 4
3:0.000000 | 3:0.000000: Child 3 message 4
3:0.000000 | 3:0.000000: Child 4 message 4
4:72.000000 | 3:380.000000: Child 5: user input 2
5:1.000000 | 5:1.000000: Child 1 message 5
5:1.000000 | 5:1.000000: Child 2 message 5
5:1.000000 | 5:1.000000: Child 3 message 5
5:1.000000 | 5:1.000000: Child 4 message 5
5:94.000000 | 4:72.000000: Child 5: user input 3
6:1.000000 | 6:1.000000: Child 1 message 6
6:1.000000 | 6:1.000000: Child 2 message 6
6:1.000000 | 6:1.000000: Child 3 message 6
6:1.000000 | 6:1.000000: Child 4 message 6
7:486.000000 | 5:94.000000: Child 5: user input 4
7:1.000000 | 7:1.000000: Child 1 message 7
7:1.000000 | 7:1.000000: Child 2 message 7
7:1.000000 | 7:1.000000: Child 3 message 7
7:1.000000 | 7:1.000000: Child 4 message 7
7:1.000000 | 7:1.000000: Child 1 message 8
7:1.000000 | 7:1.000000: Child 2 message 8
7:1.000000 | 7:1.000000: Child 3 message 8
7:1.000000 | 7:1.000000: Child 4 message 8
7:1.000000 | 7:2.000000: Child 1 message 9
7:1.000000 | 7:1.000000: Child 2 message 9
7:1.000000 | 7:1.000000: Child 3 message 9
7:1.000000 | 7:1.000000: Child 4 message 9
8:2.000000 | 8:2.000000: Child 1 message 10
8:2.000000 | 8:2.000000: Child 2 message 10
8:2.000000 | 8:2.000000: Child 3 message 10
8:2.000000 | 8:2.000000: Child 4 message 10
8:93.000000 | 7:486.000000: Child 5: user input 5
10:443.000000 | 8:93.000000: Child 5: user input 6
10:2.000000 | 10:2.000000: Child 1 message 11
10:2.000000 | 10:2.000000: Child 2 message 11
10:2.000000 | 10:2.000000: Child 3 message 11
10:2.000000 | 10:2.000000: Child 4 message 11
11:2.000000 | 11:2.000000: Child 1 message 12
11:2.000000 | 11:2.000000: Child 2 message 12
11:2.000000 | 11:2.000000: Child 3 message 12
11:2.000000 | 11:2.000000: Child 4 message 12
12:425.000000 | 10:443.000000: Child 5: user input 7
13:3.000000 | 13:3.000000: Child 1 message 13
13:3.000000 | 13:3.000000: Child 2 message 13
13:3.000000 | 13:3.000000: Child 3 message 13
13:3.000000 | 13:3.000000: Child 4 message 13
13:150.000000 | 12:425.000000: Child 5: user input 8
14:3.000000 | 14:3.000000: Child 1 message 14
14:3.000000 | 14:3.000000: Child 2 message 14
14:3.000000 | 14:3.000000: Child 3 message 14
14:3.000000 | 14:3.000000: Child 4 message 14
15:310.000000 | 13:149.000000: Child 5: user input 9
16:4.000000 | 16:4.000000: Child 1 message 15
16:4.000000 | 16:4.000000: Child 2 message 15
16:4.000000 | 16:3.000000: Child 3 message 15
16:4.000000 | 16:3.000000: Child 4 message 15
17:4.000000 | 17:4.000000: Child 1 message 16
17:4.000000 | 17:4.000000: Child 2 message 16
17:4.000000 | 17:4.000000: Child 3 message 16
17:4.000000 | 17:4.000000: Child 4 message 16
17:4.000000 | 17:4.000000: Child 1 message 17
17:4.000000 | 17:4.000000: Child 2 message 17
17:4.000000 | 17:4.000000: Child 3 message 17
17:4.000000 | 17:4.000000: Child 4 message 17
17:4.000000 | 17:4.000000: Child 1 message 18
17:4.000000 | 17:4.000000: Child 2 message 18
17:4.000000 | 17:4.000000: Child 3 message 18
17:4.000000 | 17:4.000000: Child 4 message 18
17:109.000000 | 15:310.000000: Child 5: user input 10
18:5.000000 | 18:5.000000: Child 1 message 19
18:5.000000 | 18:5.000000: Child 2 message 19
18:5.000000 | 18:5.000000: Child 3 message 19
18:5.000000 | 18:4.000000: Child 4 message 19
19:234.000000 | 17:109.000000: Child 5: user input 11
19:5.000000 | 19:5.000000: Child 1 message 20
19:5.000000 | 19:5.000000: Child 2 message 20
19:5.000000 | 19:5.000000: Child 3 message 20
19:5.000000 | 19:5.000000: Child 4 message 20
20:244.000000 | 19:234.000000: Child 5: user input 12
21:5.000000 | 21:5.000000: Child 1 message 21
21:5.000000 | 21:5.000000: Child 2 message 21
21:5.000000 | 21:5.000000: Child 3 message 21
21:5.000000 | 21:5.000000: Child 4 message 21
22:424.000000 | 20:244.000000: Child 5: user input 13
23:6.000000 | 23:6.000000: Child 1 message 22
23:6.000000 | 23:6.000000: Child 2 message 22
23:6.000000 | 23:6.000000: Child 3 message 22
23:6.000000 | 23:5.000000: Child 4 message 22
23:6.000000 | 23:6.000000: Child 2 message 23
23:6.000000 | 23:6.000000: Child 3 message 23
23:6.000000 | 23:6.000000: Child 4 message 23
23:6.000000 | 23:6.000000: Child 1 message 23
23:6.000000 | 23:6.000000: Child 1 message 24
23:6.000000 | 23:6.000000: Child 2 message 24
23:6.000000 | 23:6.000000: Child 3 message 24
23:6.000000 | 23:6.000000: Child 4 message 24
24:620.000000 | 22:424.000000: Child 5: user input 14
25:6.000000 | 25:6.000000: Child 1 message 25
25:6.000000 | 25:6.000000: Child 2 message 25
25:6.000000 | 25:6.000000: Child 3 message 25
25:6.000000 | 25:6.000000: Child 4 message 25
26:417.000000 | 24:620.000000: Child 5: user input 15
27:6.000000 | 27:6.000000: Child 1 message 26
27:6.000000 | 27:6.000000: Child 2 message 26
27:6.000000 | 27:6.000000: Child 3 message 26
27:6.000000 | 27:6.000000: Child 4 message 26
28:458.000000 | 26:417.000000: Child 5: user input 16
29:6.000000 | 29:7.000000: Child 1 message 27
29:6.000000 | 29:6.000000: Child 2 message 27
29:6.000000 | 29:6.000000: Child 3 message 27
29:6.000000 | 29:6.000000: Child 4 message 27
30:148.000000 | 28:458.000000: Child 5: user input 17
30:6.000000 | 30:7.000000: Child 1 message 28
30:6.000000 | 30:7.000000: Child 2 message 28
30:6.000000 | 30:7.000000: Child 3 message 28
30:6.000000 | 30:6.000000: Child 4 message 28
